Proteins,LFQ intensity 28a,LFQ intensity 28b,LFQ intensity 28c,LFQ intensity 28d,LFQ intensity 29a,LFQ intensity 29b,LFQ intensity 29c,LFQ intensity 29d,LFQ intensity 30a,LFQ intensity 30b,LFQ intensity 30c,LFQ intensity 30d,LFQ intensity 7a,LFQ intensity 7b,LFQ intensity 7c,LFQ intensity 7d,LFQ intensity CTLa,LFQ intensity CTLb,LFQ intensity CTLc,LFQ intensity CTLd
NKRF,29.20485133,29.33911252,28.87534342,28.6981306,28.74733611,28.74743215,28.77721543,27.5584457,28.83951075,28.6069964,29.68814157,28.91336415,28.32036083,29.36049398,28.98242393,28.55651021,25.04364312,28.39292523,0,24.85409946
NELFB,31.16272974,28.80989542,30.77148093,0,29.15720983,27.52768377,28.90431865,25.56252729,31.33926122,30.23671831,30.26852137,0,29.4915383,27.76243233,28.03291399,0,28.64982744,0,0,0
NELFE,25.76200138,24.84651572,24.66057744,0,26.73982489,24.84215734,25.83265267,0,24.9323348,24.94480748,0,0,26.88016942,25.02043099,26.50008717,25.25382123,25.57455888,0,0,0
NHP2,27.70648738,26.42090277,27.16077193,25.8622113,25.91147958,26.70556489,25.70722494,24.15174372,26.95227077,26.80919014,26.46193589,25.60690465,25.8707011,26.22624445,25.69922337,25.40723716,24.9164313,0,0,28.58491526
NHP2L1,27.76698741,28.38899049,28.83403413,26.1306323,27.086994,28.14131434,27.81598333,25.97191309,26.72663415,27.48177665,26.9234305,25.69614827,27.19938524,27.55413293,28.13128998,25.40736684,23.17595334,26.1894278,25.53216541,24.8398531
NME4,26.51215126,26.0252555,26.52160164,25.28630281,26.54062908,24.1178314,27.98207027,26.12760506,26.66830872,24.98463645,25.73249435,25.10505583,26.80538177,25.27664554,27.88396038,26.24881836,25.16668289,24.69641363,0,0
NOC2L,26.25048189,26.2612842,27.36202112,26.38012268,24.00795664,24.6672532,25.67192952,23.5547331,24.67739749,25.54256385,27.6881916,23.53777388,23.79887202,25.77238425,24.86886588,24.93210948,24.11028321,25.74332215,0,0
NOL7,25.97261438,24.83253196,24.85533578,23.98849886,23.56871508,24.407302,0,0,0,24.99230773,23.50639669,25.42566411,23.29810061,24.8345104,0,23.44126441,0,0,0,0
DDX54,32.78774118,32.9304939,33.6719818,33.17496572,30.30454243,32.54169371,32.87133141,30.64838803,30.09257445,33.15066144,33.43800013,32.70662323,28.28047373,32.47868,33.00261187,32.14220948,31.75728266,30.80777853,0,38.00807105
NOMO3,26.62058811,24.6371042,0,0,26.24854695,24.30229084,0,0,27.58039349,24.43383551,25.4221387,0,26.35029825,24.84689825,25.37951137,0,25.03548578,0,0,0
